,City Name,Lat,Lon,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
81,Arraial do Cabo,-22.9661,-42.0278,75.4,87,100,10.25,BR,1614397414
82,Hobart,-42.8794,147.3294,71.01,48,40,11.5,AU,1614397120
83,Katsuura,35.1333,140.3,48.0,36,75,16.11,JP,1614397417
84,East London,-33.0153,27.9116,62.6,94,90,5.75,ZA,1614397130
85,Pevek,69.7008,170.3133,-25.67,96,1,2.59,RU,1614397419
86,Kumul,42.8,93.45,27.79,46,84,5.77,CN,1614397420
87,Alice Springs,-23.7,133.8833,93.2,10,0,6.91,AU,1614397386
88,Palembang,-2.9167,104.7458,86.0,70,75,9.22,ID,1614397423
89,Busselton,-33.65,115.3333,75.0,55,0,4.0,AU,1614397424
90,Tabuk,17.4189,121.4443,81.82,69,82,4.43,PH,1614397425
91,Salinópolis,-0.6136,-47.3561,77.92,88,100,8.68,BR,1614397427
92,Khilok,51.3674,110.4676,6.19,80,81,16.44,RU,1614397428
93,Matara,5.9485,80.5353,83.19,70,22,3.78,LK,1614397430
94,Chokurdakh,70.6333,147.9167,-20.02,88,92,0.56,RU,1614397431
95,Lissone,45.6156,9.2465,51.01,93,40,1.14,IT,1614397432
96,Lālganj,25.8667,85.1833,73.4,43,0,6.91,IN,1614397434
97,George Town,5.4112,100.3354,86.0,62,20,5.75,MY,1614397208
98,Kavieng,-2.5744,150.7967,85.48,63,96,9.48,PG,1614397436
99,Sur,22.5667,59.5289,74.7,67,0,15.59,OM,1614397438
100,Nālūt,30.3333,10.85,45.82,74,0,9.57,LY,1614397439
101,Tucumcari,35.1717,-103.725,48.2,18,1,3.44,US,1614397441
102,Thaba-Tseka,-29.522,28.6084,45.54,89,48,2.35,LS,1614397442
103,Camacha,33.0833,-16.3333,57.2,54,40,14.97,PT,1614397443
104,Vao,-22.6667,167.4833,76.93,74,1,16.75,NC,1614397444
105,Ribeira Grande,38.5167,-28.7,60.51,89,98,14.54,PT,1614397446
106,Ürümqi,43.801,87.6005,10.4,79,61,2.24,CN,1614397447
107,Torbay,47.6666,-52.7314,19.0,79,90,16.11,CA,1614397448
108,Bārān,25.1,76.5167,80.94,27,0,5.97,IN,1614397450
109,Bengkulu,-3.8004,102.2655,86.88,51,3,8.37,ID,1614397451
110,Broken Hill,-31.95,141.4333,86.0,17,0,10.36,AU,1614397452
111,Arrondissement de Nogent-le-Rotrou,48.3333,1.0,36.0,87,0,4.61,FR,1614397454
112,Yellowknife,62.456,-114.3525,-25.01,68,75,5.75,CA,1614397455
113,Saint Simons,31.1352,-81.3901,64.4,77,1,6.91,US,1614397456
114,Qaanaaq,77.484,-69.3632,5.31,73,74,7.94,GL,1614397458
115,Te Anau,-45.4167,167.7167,69.08,85,75,1.95,NZ,1614397459
116,Araouane,18.9048,-3.5265,60.35,29,0,6.38,ML,1614397460
117,Sorong,-0.8833,131.25,85.64,70,57,9.15,ID,1614397462
118,Boden,65.8252,21.6886,24.8,80,6,6.91,SE,1614397463
119,Kaitangata,-46.2817,169.8464,62.29,81,98,9.37,NZ,1614397464
120,Oxapampa,-10.5775,-75.4017,59.45,87,82,3.78,PE,1614397466
121,Bethel,41.3712,-73.414,35.6,51,1,3.44,US,1614397467
122,Mouzourás,35.5333,24.15,46.4,93,20,5.14,GR,1614397469
